"%s弯曲","%sBend"
"影响对象","Affect Object"
"基本名称","Base Name"
"用于构建文件名的名称","Name used to construct file names"
"烘焙贴图","Bake Maps"
"为选定的HD网格烘焙法线/置换贴图","Bake normal/displacement maps for the selected HD meshes"
"单瓦片","Single Tile"
"仅为单个瓦片烘焙贴图","Only bake map for a single tile"
"要烘焙的单个瓦片","Single tile to bake"
"加载烘焙贴图","Load Baked Maps"
"加载为选定网格烘焙的法线/置换贴图","Load baked normal/displacement maps for the selected meshes"
"置换比例","Displacement Scale"
"置换比例","Displacement scale"
"单组","Single Group"
"将所有选定网格视为一个组","Treat all selected meshes as a single group"
"组名称","Group Name"
"单组的名称","Name of the single group"
"添加可见性驱动","Add Visibility Drivers"
"用骨架属性控制可见性。用于文件链接。","Control visibility with rig property. For file linking."
"添加集合","Add Collections"
"将选定网格移动到新集合","Move selected meshes to new collections"
"移除可见性驱动","Remove Visibility Drivers"
"移除通过骨架属性控制可见性的能力","Remove ability to control visibility from rig property"
"显示全部","Show All"
"显示此骨架的所有网格/化妆","Show all meshes/makeup of this rig"
"隐藏全部","Hide All"
"隐藏此骨架的所有网格/化妆","Hide all meshes/makeup of this rig"
"切换可见性","Toggle Vis"
"切换此网格的可见性","Toggle visibility of this mesh"
"创建蒙版","Create Masks"
"为选定的网格在活动网格中创建顶点组和蒙版修改器","Create vertex groups and mask modifiers in active mesh for selected meshes"
"添加收缩包裹","Add Shrinkwrap"
"添加覆盖活动网格的收缩包裹修改器。\n可选添加实体化修改器","Add shrinkwrap modifiers covering the active mesh.\nOptionally add solidify modifiers"
"偏移（毫米）","Offset (mm)"
"将表面从角色网格偏移","Offset the surface from the character mesh"
"实体化","Solidify"
"同时添加实体化修改器","Add a solidify modifier too"
"厚度（毫米）","Thickness (mm)"
"表面的厚度","Thickness of the surface"
"应用修改器","Apply Modifiers"
"之后应用修改器","Apply modifiers afterwards"
"使其不可见","Make Invisible"
"通过分配不可见材质来隐藏选定的面","Hide selected faces by assigning an invisible material to them"
"隐性","Invisio"
"添加形状键可见性驱动","Add Shapekey Visibility Drivers"
"根据选定衣物的可见性为选定形状键添加驱动","Add drivers to selected shapekeys,\ndepending on the visibility of selected clothes"
"M","M"
"缩放","parscale"
"皮肤","SKIN"
"衣服","Clothes"
"视口颜色","Viewport Color"
"网格拟合","Mesh Fitting"
"网格拟合方法","Mesh fitting method"
"变形强度","Morph Strength"
"变形强度","Morph strength"
"加载DAZ文件","Load a DAZ File"
"导入DAZ","Import DAZ"
"加载本地DAZ文件","Load a native DAZ file"
"有关更多选项，请参见全局设置。","For more options, see Global Settings."
"导入DAZ材质","Import DAZ Materials"
"将本地DAZ文件中的材质加载到活动网格","Load materials from a native DAZ file to the active mesh"
"替换槽","Replace Slots"
"用第一个材质替换现有的材质槽","Replace existing material slots with first materials"
"添加槽","Add Slots"
"在现有材质槽后添加额外材质","Add extra materials after existing material slots"
"匹配名称","Match Names"
"匹配材质名称","Match material names"
"加载DAZ文件并执行最常用的操作","Load a DAZ File and perform the most common opertations"
"简单导入DAZ","Easy Import DAZ"
"加载本地DAZ文件并执行最常用的操作","Load a native DAZ file and perform the most common operations"
"将主装备转换为更适合动画师的装备","Convert the main rig to a more animator-friendly rig"
"人体模型类型","Mannequin Type"
"将人体模型添加到此类型的网格","Add mannequin to meshes of this type"
"消除空物体","Eliminate Empties"
"删除未隐藏的空物体，将其子级重新父级到其父级","Delete non-hidden empties, parenting its children to its parent instead"
"合并装备","Merge Rigs"
"将所有装备合并到主角色装备","Merge all rigs to the main character rig"
"合并材质","Merge Materials"
"合并相同的材质","Merge identical materials"
"合并脚趾","Merge Toes"
"将单独的脚趾合并为一个脚趾骨","Merge separate toes into a single toe bone"
"转移形状键","Transfer Shapekeys"
"将形状键从角色转移到衣物","Transfer shapekeys from character to clothes"
"添加软体模拟","Add softbody simultation"
"合并地形","Merge Geografts"
"将选定的地形合并到活动对象。\n不适用于嵌套地形。\n形状键总是首先转移","Merge selected geografts to active object.\nDoes not work with nested geografts.\nShapekeys are always transferred first"
"合并面部网格","Merge Face Meshes"
"将单独的面部网格（睫毛、眉毛、泪水、胡须）合并到角色。\n如果有未合并的地形，则无效。\n形状键总是首先转移","Merge separate face meshes (eyelash, brow, tear, beard) to character.\nIneffective if there are unmerged geografts.\nShapekeys are always transferred first"
"睫毛","Lashes"
"泪水","Tear"
"眉毛","Brows"
"胡须","Beard"
"转换为小工具","Convert To Widgets"
"将小工具网格转换为骨骼自定义形状","Convert widget mesh to bone custom shapes"
"使用收藏的变形","Use Favorite Morphs"
"加载收藏的变形而不是加载标准变形","Load a favorite morphs instead of loading standard morphs"
"收藏的变形","Favorite Morphs"
"收藏变形的路径","Path to favorite morphs"
"使用调整器","Use Adjusters"
"转移到面部网格","Transfer To Face Meshes"
"转换头发","Convert Hair"
"将基于发丝的头发转换为粒子头发","Convert strand-based hair to particle hair"
"调整骨骼","Tweak Bones"
"添加调整骨骼","Add tweak bones"
"解码文件","Decode File"
"将压缩的DAZ文件（*.duf, *.dsf, *.dbz）解码为文本文件","Decode a gzipped DAZ file (*.duf, *.dsf, *.dbz) to a text file"
"引用","Quote"
"取消引用","Unquote"
"引用/取消引用","Quote/Unquote"
"引用或取消引用指定文本","Quote or unquote specified text"
"输入要引用或取消引用的文本","Type text to quote or unquote"
"DAZ (.duf, .dsf)","DAZ (.duf, .dsf)"
"简单DAZ (.duf, .dsf)","Easy DAZ (.duf, .dsf)"
"选择所有材质","Select all materials"
"皮肤","Skin"
"选择皮肤材质","Select skin materials"
"皮肤-嘴唇-指甲","Skin-Lips-Nails"
"选择所有皮肤或红色材质","Select all skin or red materials"
"无","None"
"不选择材质","Select no material"
"向量","Vector"
"启动材质编辑器","Launch Material Editor"
"编辑选定网格的材质","Edit materials of selected meshes"
"所有材质","All Materials"
"影响所有选定网格的所有材质","Affect all materials of all selected meshes"
"仅修改的通道","Only Modified Channels"
"仅更新材质编辑器已修改的通道","Only update channels that have been modified by the material editor"
"活动材质：%s","Active Material: %s"
"更新材质","Update Materials"
"制作组合材质","Make Combo Material"
"为选定材质创建组合节点组","Create a combo node group for selected materials"
"%s:%s 组合","%s:%s Combo"
"制作贴花","Make Decal"
"向活动材质添加贴花","Add a decal to the active material"
"通道","Channel"
"将贴花添加到此通道","Add decal to this channel"
"重用空物体","Reuse Empty"
"重用现有的空物体而不是创建新的","Reuse an existing empty instead of creating a new one"
"空物体","Empty"
"要重用的空物体","Empty to reuse"
"使用蒙版","Use Mask"
"使用单独的纹理来蒙版贴花","Use a separate texture to mask the decal"
"贴花蒙版","Decal Mask"
"贴花蒙版纹理的路径","Path to decal mask texture"
"混合类型","Blend Type"
"贴花与皮肤的混合类型","Type of blending decal with skin"
"sRGB","sRGB"
"%s_%s","%s_%s"
"重置材质","Reset Material"
"将材质重置为原始","Reset material to original"
"设置壳的可见性","Set Shell Visibility"
"控制几何壳的可见性","Control the visility of geometry shells"
"插入键","Insert Keys"
"在当前帧插入键","Insert keys at the current frame"
"移除壳","Remove Shells"
"从活动对象中移除选定的壳","Remove selected shells from active object"
"替换壳","Replace Shells"
"显示壳节点组，以便可以替换它们。","Display shell node groups so they can be displaced."
"更改单位比例","Change Unit Scale"
"安全地更改选定对象及其子对象的单位比例","Safely change the unit scale of selected object and children"
"新单位比例","New Unit Scale"
"制作调色板","Make Palette"
"创建用于资产浏览器的调色板","Create a palette for use with the asset browser"
"标记为资产","Mark As Asset"
"将调色板标记为资产浏览器并使所有材质唯一","Mark the palette for the asset browser and make all materials unique"
"调色板形状","Palette Shape"
"调色板形状","Palette shape"
"%s 调色板","%s Palette"
"替换材质","Replace Materials"
"将选定材质替换为指定材质。\n用于复制地形基础材质","Replace selected materials with specified material.\nFor copying geograft base materials"
"使用此材质的节点树","Use node tree from this material"
"保存本地纹理","Save Local Textures"
"将纹理复制到blend文件的纹理子文件夹","Copy textures to the textures subfolder in the blend file"
"保持目录","Keep Directories"
"保留Daz Studio的目录树，否则扁平化目录结构","Keep the directory tree from Daz Studio, otherwise flatten the directory structure"
"忽略强度","Ignore Strength"
"即使某些标量值不同也合并材质。\n通常需要合并具有凹凸贴图的材质","Merge materials even if some scalar values differ.\nOften needed to merge materials with bump maps"
"忽略颜色","Ignore Color"
"即使某些向量值不同也合并材质","Merge materials even if some vector values differ"
"复制材质","Copy Materials"
"将材质从活动网格复制到选定网格","Copy materials from active mesh to selected meshes"
"基于名称匹配材质而不是材质槽","Match materials based on names rather than material slots"
"不匹配时报错","Error On Mismatch"
"如果源和目标材质数量不同，则引发错误","Raise an error if the number of source and target materials are different"
"步数","Steps"
"用此步数调整原始图像大小","Resize original images with this number of steps"
"调整所有","Resize All"
"调整选定网格的所有纹理大小","Resize all textures of the selected meshes"
"更改分辨率","Change Resolution"
"调整纹理大小","Resize Textures"
"用调整大小的版本替换选定网格的所有纹理","Replace all textures of selected meshes with resized versions"
"修剪节点树","Prune Node Trees"
"修剪选定网格的所有材质节点树","Prune all material node trees for selected meshes"
"更新渲染设置","Update Render Settings"
"如果渲染和光照设置不充分，则更新它们","Update render and light settings if they are inadequate"
"渲染设置","Render Settings"
"光照设置","Light Settings"
"添加顶点表","Add Vertex Table"
"合并UV层","Merge UV Layers"
"允许重叠","Allow Overlap"
"允许合并重叠的UV层","Allow merging overlapping UV layers"
"细分置换","SubD Displacement"
"如果某些地形具有细分置换，则将其添加到合并网格。\n可能会减慢渲染速度","Add SubD Displacement to the merge mesh if some geograft has it.\nMay slow down rendering"
"几何节点（实验性）","Geometry Nodes (Experimental)"
"使用几何节点合并地形","Merge geografts using geometry nodes"
"合并到新网格","Merge To New Mesh"
"在新的空网格中合并网格","Merge meshes in a new, empty mesh"
"将选定的地形合并到活动对象","Merge selected geografts to active object"
"地形","Graft"
"%s 蒙版","%s Mask"
"%s 边缘","%s Edge"
"%s 合并","%s Merged"
"地形 %s","Geografts %s"
"创建接枝组","Greate Graft Groups"
"根据接枝信息创建顶点组","Create vertex groups from graft information"
"接枝_","Graft_"
"蒙版_","Mask_"
"%s (%d)","%s (%d)"
"要合并的图层","Layer To Merge"
"与活动渲染层合并的UV层","UV layer that is merged with the active render layer"
"活动图层：%s","Active Layer: %s"
"合并网格","Merge Meshes"
"合并UVs","Merge UVs"
"将合并网格的UV层与第一个UV层合并","Merge UV layers of merged meshes with first UV layer"
"删除空物体，将其子级重新父级到其父级","Delete empties, parenting its children to its parent instead"
"创建集合","Create Collections"
"用集合替换空物体","Replace empties with collections"
"删除隐藏空物体","Delete Hidden Empties"
"同时删除隐藏的空物体","Also delete empties that are hidden"
"创建重复骨骼","Create Duplicate Bones"
"如果找到多个同名骨骼，则创建单独的骨骼","Create separate bones if several bones with the same name are found"
"不符合标准的装备","Non-conforming Rigs"
"也合并不符合标准的装备。\n（骨骼父级，没有与主装备共有的骨骼）","Also merge non-conforming rigs.\n(Bone parented and with no bones in common with main rig)"
"将选定的装备合并到活动装备","Merge selected rigs to active rig"
"分离角色","Separate Characters"
"仅子装备","Only Child Rigs"
"仅合并作为活动骨架子级的骨架","Only merge armatures that are children of the active armature"
"衣物层","Clothes Layer"
"合并衣物时使用的骨骼层","Bone layer used for extra bones when merging clothes"
"创建网格集合","Create Mesh Collection"
"创建一个新集合并将所有网格移动到其中","Create a new collection and move all meshes to it"
"骨架 %s","Armature %s"
"复制姿势","Copy Pose"
"将姿势从活动装备复制到选定装备","Copy pose from active rig to selected rigs"
"将当前姿势作为静止姿势应用到选定装备和子装备","Apply current pose at rest pose to selected rigs and children"
"复制变换 %s","Copy Transform %s"
"提示","Hint"
"StretchTo %s","StretchTo %s"
"阻尼跟踪 %s","Damped Track %s"
"跟踪到 %s","TrackTo %s"
"子级约束 %s","ChildOf %s"
"转换为MHX","Convert To MHX"
"将装备转换为MHX","Convert rig to MHX"
"显示链接骨骼","Show Link Bones"
"显示链接骨骼","Show link bones"
"重用弯曲和扭转骨骼","Reuse Bend And Twist Bones"
"使用原始弯曲-扭转骨骼和顶点组","Use the original bend-twist bones and vertex groups"
"拆分胫骨","Split Shin Bone"
"将胫骨拆分为弯曲和扭转部分","Split the shin bone into bend and twist parts"
"子级约束（实验性）","ChildOf Constraints (Experimental)"
"肘部父级","Elbow Parent"
"肘部极目标的父级","Parent of elbow pole target"
"膝部父级","Knee Parent"
"膝部极目标的父级","Parent of knee pole target"
"第二IK脚","Second IK Foot"
"添加额外的脚和脚趾骨作为IK目标","Add extra foot and toe bones as IK targets"
"骨骼组","Bone Groups"
"缺失骨骼错误","Missing Bone Errors"
"缺失骨骼报错","Raise error for missing bones"
"手0.%s","hand0.%s"
"肘极点P.%s","elbowPoleP.%s"
"臂父.%s","arm_parent.%s"
"主","master"
"膝极点P.%s","kneePoleP.%s"
"臀","hip"
"主骨的子级","ChildOf Master"
"手的子级","ChildOf Hand"
"肩的子级","ChildOf Shoulder"
"脚的子级","ChildOf Foot"
"臀的子级","ChildOf Hip"
"逆向运动学_%s","ik_%s"
"变形","Dform "
"基础","Basic"
"将变形添加到此自定义变形类别","Add morphs to this category of custom morphs"
"全选","Select all"
"全不选","Select none"
"过滤","Filter"
"仅显示包含此字符串的项目","Show only items containing this string"
"类型","Type"
"身体部位","Body part"
"变形影响的字符特征部分","Part of character that the morphs affect"
"更新变形路径","Update Morph Paths"
"更新预定义变形的路径","Update paths to predefined morphs"
"全选","Select All"
"选择/取消选择此部分中的所有变形","Select/Deselect all morphs in this section"
"使用后缀","Use Suffix"
"添加变形后缀","Add morph suffixes"
"后缀","Suffix"
"变形后缀","Morph suffix"
"自动将形状键转移到面部网格，如睫毛、眼泪、眉毛和胡须","Automatically transfer shapekeys to face meshes\nlike eyelashes, tears, brows and beards"
"[%s]","[%s]"
"导入单位","Import Units"
"导入选定的面部单位变形","Import selected face unit morphs"
"导入表情","Import Expressions"
"导入选定的表情变形","Import selected expression morphs"
"导入发音","Import Visemes"
"导入选定的发音变形","Import selected visemes morphs"
"导入头部","Import Head"
"导入选定的头部变形","Import selected head morphs"
"导入FACS","Import FACS"
"导入选定的FACS变形","Import selected FACS morphs"
"导入FACS细节","Import FACS Details"
"导入选定的FACS细节变形","Import selected FACS details morphs"
"导入FACS表情","Import FACS Expressions"
"导入选定的FACS表情变形","Import selected FACS expression morphs"
"MHX兼容","MHX Compatible"
"选择MHX兼容的身体变形","Select MHX compatible body morphs"
"导入身体变形","Import Body Morphs"
"导入选定的身体变形","Import selected body morphs"
"导入JCMs","Import JCMs"
"导入选定的关节校正变形","Import selected joint corrective morphs"
"导入弯曲","Import Flexions"
"导入选定的弯曲变形","Import selected flexion morphs"
"面部单位","Face Units"
"导入所有面部单位","Import all face units"
"表情","Expressions"
"导入所有表情","Import all expressions"
"发音","Visemes"
"导入所有发音","Import all visemes"
"导入所有头部变形","Import all head morphs"
"FACS","FACS"
"导入所有FACS变形","Import all FACS morphs"
"FACS细节","FACS Details"
"导入所有FACS细节","Import all FACS details"
"FACS表情","FACS Expressions"
"导入所有FACS表情","Import all FACS expressions"
"身体","Body"
"导入所有身体变形","Import all body morphs"
"仅MHX兼容","MHX Compatible Only"
"仅导入MHX兼容的身体变形","Only import MHX compatible body morphs"
"JCMs","JCMs"
"导入所有JCMs","Import all JCMs"
"弯曲","Flexions"
"导入所有弯曲","Import all flexions"
"导入标准变形","Import Standard Morphs"
"导入选定类型的所有标准变形。这样做一次比加载单个类型更快","Import all standard morphs of selected types.\nDoing this once is faster than loading individual types"
"导入自定义变形","Import Custom Morphs"
"从原生DAZ文件（*.duf, *.dsf）导入选定的变形","Import selected morphs from native DAZ files (*.duf, *.dsf)"
"使用骨骼属性驱动","Use Rig Property Drivers"
"用骨骼属性驱动形状键","Drive shapekeys with rig properties"
"使用网格类别","Use Mesh Categories"
"网格类别","Mesh categories"
"处理HD不匹配","Treat HD Mismatch"
"如何处理HD变形的顶点数不匹配","How to deal with vertex count mismatch for HD morphs"
"重命名类别","Rename Category"
"重命名选定的类别","Rename selected category"
"新名称","New Name"
"删除形状键","Delete Shapekeys"
"删除驱动和形状键","Delete both drivers and shapekeys"
"删除属性","Delete Properties"
"删除与此变形关联的对象和骨骼属性","Delete object and armature properties associated with this morph"
"删除驱动","Delete Drivers"
"删除与此变形关联的驱动","Delete drivers associated with this morph"
"移除标准变形","Remove Standard Morphs"
"移除选定的标准变形和关联的驱动","Remove selected standard morphs and associated drivers"
"移除类别","Remove Categories"
"移除选定的类别和关联的驱动","Remove selected categories and associated drivers"
"选择此类型的所有变形","Select all morphs of this type"
"取消选择所有","Unselect All"
"取消选择此类型的所有变形","Unselect all morphs of this type"
"将选定类型的所有变形设置为零。不影响整数属性","Set all selected morphs of specified type to zero.\nDoes not affect integer properties"
"设置变形","Set Morphs"
"将选定类型的所有变形设置为给定值。不影响整数属性","Set all selected morphs of specified type to given value.\nDoes not affect integer properties"
"值","Value"
"将所有选定的变形设置为此值","Set all selected morphs to this value"
"设置关键帧","Set Keys"
"即使自动关键帧关闭也设置关键帧","Set keyframes even if auto keying is off"
"清除形状","Clear Shapes"
"将选定类型的所有形状键值设置为零","Set all selected shapekey values of specified type to zero"
"设置形状","Set Shapes"
"将选定类型的所有形状键值设置为给定值。不影响整数属性","Set all selected shapekey values of specified type to given value.\nDoes not affect integer properties"
"将所有选定的形状键设置为此值","Set all selected shapekeys to this value"
"键集","Keyset"
"将选定的变形添加到活动自定义键集，或创建新的","Add selected morphs to active custom keying set, or make new one"
"daz_morphs","daz_morphs"
"在当前帧为选定类型的所有变形设置关键帧","Set keys for all selected morphs of specified type at current frame"
"在当前帧为选定类型的所有形状设置关键帧","Set keys for all shapes of specified type at current frame"
"移除关键帧","Remove Keys"
"从选定类型的所有变形在当前帧移除关键帧","Remove keys from all selected morphs of specified type at current frame"
"从选定类型的所有形状键在当前帧移除关键帧","Remove keys from all shapekeys of specified type at current frame"
"更新滑块限制","Update Slider Limits"
"更新选定滑块的最小和最大值。所有滑块限制在从脚本调用时被选中","Update selected slider min and max values.\nAll slider limits are selected when called from script"
"最小值","Min"
"滑块最小值","Minimum slider value"
"最大值","Max"
"滑块最大值","Maximum slider value"
"滑块","Sliders"
"更新滑块值的最小和最大值","Update min and max for slider values"
"最终","Final"
"更新最终值的最小和最大值","Update min and max for final values"
"更新形状键的最小和最大值","Update min and max for shapekeys"
"移除所有驱动","Remove All Drivers"
"从选定对象移除所有驱动","Remove all drivers from selected objects"
"移除属性","Remove Properties"
"也移除驱动属性","Also remove driving properties"
"移除所有属性","Remove All Properties"
"也移除其他属性","Also remove other properties"
"添加驱动值节点","Add Driven Value Nodes"
"添加驱动值节点","Add driven value nodes"
"活动材质: %s","Active material: %s"
"将形状键添加到类别","Add Shapekey To Category"
"将选定的形状键添加到网格类别","Add selected shapekeys to mesh category"
"新类别","New Category"
"创建新类别","Create a new category"
"添加形状键驱动","Add Shapekey Drivers"
"为形状键添加骨骼驱动","Add rig drivers to shapekeys"
"从类别移除形状键","Remove Shapekey From Category"
"从网格类别移除选定的形状键","Remove selected shapekeys from mesh category"
"移除形状键驱动","Remove Shapekey Drivers"
"从形状键移除骨骼驱动","Remove rig drivers from shapekeys"
"切换所有类别","Toggle All Categories"
"切换所有变形类别的开和关","Toggle all morph categories on and off"
"固定属性","Pin property"
"固定形状键值","Pin shapekey value"
"加载Moho","Load Moho"
"加载Moho（.dat）文件","Load Moho (.dat) file"
"发音集","Phoneme Set"
"强调","Emphasis"
"语音强度","Speech strength"
"更新限制","Update Limits"
"更新开口元音的限制以考虑强调","Update limits of open vowels to account for emphasis"
"放松动画","Relax Animation"
"放松Moho动画以使其更自然","Relax the Moho animation to make it more natural"
"将变形转换为形状键","Convert Morphs To Shapekeys"
"将选定的变形转换为形状键。所有变形在从脚本调用时被转换","Convert selected morphs to shapekeys.\nAll morphs are converted when called from script"
"标签作为名称","Labels As Names"
"使用变形标签而不是变形名称作为形状键名称","Use the morph labels instead of morph names as shapekey names"
"删除现有形状键","Delete Existing Shapekeys"
"删除已存在的形状键","Delete shapekeys that already exists"
"将动画转移到形状键","Transfer Animation To Shapekeys"
"%s:%s","%s:%s"
"将网格转移到形状键","Transfer Mesh To Shapekey"
"将选定的网格转移到活动形状键","Transfer selected mesh to active shapekey"
"保存喜爱的变形","Save Favorite Morphs"
"保存喜爱的变形","Save favorite morphs"
"忽略URL","Ignore URL"
"忽略指纹","Ignore Fingerprint"
"忽略描述网格拓扑的网格指纹","Ignore the mesh fingerprint which describes the mesh topology"
"加载喜爱的变形","Load Favorite Morphs"
"加载喜爱的变形","Load favorite morphs"
"保存变形预设","Save Morph Preset"
"将选定的形状键保存为变形预设","Save selected shapekeys as a morph preset"
"目录","Directory"
"演示","Presentation"
"变形","Morph"
"变形路径","Morph Path"
"变形路径","Path to morphs"
"%s REFS","%s REFS"
"%s REF","%s REF"
"隐藏","Hidden"
"导入DBZ变形","Import DBZ Morphs"
"将DBZ或JSON文件（*.dbz, *.json）作为变形导入","Import DBZ or JSON file(s) (*.dbz, *.json) as morphs"
"设置（版本1.6.2.%04d）","Setup (version 1.6.2.%04d)"
"修正","Corrections"
"变形驱动禁用","Morph Drivers Disabled"
"完成","Finishing"
"高级设置","Advanced Setup"
"低多边形","Lowpoly"
"可见性","Visibility"
"HDMesh","HDMesh"
"网格","Mesh"
"头发","Hair"
"  头发:  %s","  Hair:  %s"
"  人类: %s","  Human: %s"
"工具","Utilities"
"活动对象: %s","Active Object: %s"
"无活动对象","No active object"
"活动骨骼: %s","Active Bone: %s"
"无活动骨骼","No active bone"
"%.3f","%.3f"
"摆姿势","Posing"
"未分类的标准变形","Unclassified Standard Morphs"
"FACS单位","FACS Units"
"身体变形","Body Morphs"
"打开所有类别","Open All Categories"
"关闭所有类别","Close All Categories"
"自定义变形","Custom Morphs"
"网格形状键","Mesh Shape Keys"
"自动跟随","Auto Follow"
"简单骨骼","Simple Rig"
"IK影响","IK Influence"
"左","Left"
"右","Right"
"手臂","Arm"
"腿","Leg"
"捕捉FK骨骼","Snap FK bones"
"左臂","Left Arm"
"右臂","Right Arm"
"左腿","Left Leg"
"右腿","Right Leg"
"捕捉IK骨骼","Snap IK bones"
"层","Layers"
"DAZ Rigify属性","DAZ Rigify Properties"
"视线跟随头部","Gaze Follows Head"
"左视线","Left Gaze"
"右视线","Right Gaze"
"骨骼名称","Bone name"
"平均刚度映射权重","Average Rigidty Map Weight"
"形状键名称","Shapekey name"
"形状键形状刚度参考顶点的中心","Center of shapekey shape Rigidity Reference vertices"
"比例因子","Scale Factor"
"当将形状键转移到定义了刚度组的geograft时计算比例因子","Scale factor is calculated when transfer shapekey to the geograft that has defined Rigidity Group"
"刚度组最初来自的对象名称（例如Geograft）","Name of object (eg. Geograft) that Rigidity Group originaly came from"
"基础形状刚度参考顶点的中心","Center of basis shape Rigidity Reference vertices"
"查找多边形","Find Polys"
"快速制作低多边形","Make Quick Low-poly"
"使用快速算法替换所有选定的网格为低多边形版本，不保留UV接缝","Replace all selected meshes by low-poly versions, using a quick algorithm that does not preserve UV seams"
"迭代次数","Iterations"
"迭代次数在...时 ","Number of iterations when "
"制作可信低多边形时的迭代次数","Make Faithful Low-poly"
"替换所有选定的网格为低多边形版本，使用实验算法保留UV接缝","Replace all selected meshes by low-poly versions, using a experimental algorithm that does preserve UV seams"
"四边化三角形","Quadify Triangles"
"将三角形连接为四边形","Join triangles to quads"
"分割多边形","Split n-gons"
"将所有五个或更多角的多边形分割成三角形","Split all polygons with five or more corners into triangles"
"查找接缝","Find Seams"
"基于现有UV创建接缝","Create seams based on existing UVs"
"选择随机发丝","Select Random Strands"
"比例","Fraction"
"选择的发丝比例","Fraction of strands to select"
"种子","Seed"
"随机数生成器的种子","Seed for the random number generator"
"按宽度选择发丝","Select Strands By Width"
"选择不宽于阈值的发丝","Select strands no wider than threshold"
"宽度","Width"
"最大允许宽度（毫米）","Max allowed width (mm)"
"按大小选择发丝","Select Strands By Size"
"应用变形","Apply Morphs"
"应用所有形状键","Apply all shapekeys"
"应用细分","Apply Subsurf"
"应用细分修改器，保持形状键","Apply subsurf modifier, maintaining shapekeys"
"打印统计信息","Print Statistics"
"显示选定网格的统计信息","Display statistics for selected meshes"
"添加人偶","Add Mannequins"
"为选定网格添加人偶。不","Add mannequins to selected meshes. Don"
"头部类型","Head Type"
"如何制作人偶头部","How to make the mannequin head"
"添加到集合","Add To Collection"
"将人偶添加到集合","Add mannequin to collection"
"集合","Collection"
"将人偶添加到此集合","Add mannequin to this collection"
"转移法线","Transfer Normals"
"将自定义法线转移到人偶网格","Transfer custom normals to mannequin meshes"
"转移顶点组","Transfer Vertex Groups"
"将顶点组转移到人偶网格","Transfer vertex groups to mannequin meshes"
"忽略骨骼组","Ignore Bone Groups"
"阈值","Threshold"
"保持的最小顶点权重","Minimum vertex weight to keep"
"转移顶点颜色","Transfer Vertex Colors"
"将顶点颜色转移到人偶网格","Transfer vertex colors to mannequin meshes"
"转移UV层","Transfer UV Layers"
"将UV层转移到人偶网格","Transfer UV layers to mannequin meshes"
"添加推力","Add Push"
"添加推力形状键","Add a push shapekey"
"推力","Push"
"将松散部分分离为独立网格","Separate loose parts as separate meshes"
"默认","Default"
"制作偏转","Make Deflection"
"为活动网格制作低多边形偏转网格","Make a low-poly deflection mesh for the active mesh"
"四边形","Quads"
"将偏转器转换为大多数为四边形的网格","Convert the deflector into a majority-quad mesh"
"细分","Subsurf"
"使用细分修改器平滑偏转网格","Smooth the deflection mesh with a subsurf modifier"
"包裹收缩","Shrinkwrap"
"将偏转网格收缩包裹到原始网格","Shrinkwrap the deflection mesh to the original mesh"
"复制修改器","Copy Modifiers"
"从活动网格复制修改器到选定网格","Copy modifiers from active mesh to selected"
"使用细分","Use Subsurf"
"也复制细分和多分辨率修改器","Also copy subsurf and multires modifiers"
"移除布料","Remove Cloth"
"从源网格移除布料修改器","Remove cloth modifiers from source mesh"
"将活动网格转换为父骨骼的自定义形状","Convert the active mesh to custom shapes for the parent armature bones"
"使用层","Used Layer"
"包含形状键的骨骼层","Bone layer for bones with shapekeys"
"未使用层","Unused Layer"
"不包含形状键的骨骼层","Bone layer for bones without shapekeys"
"删除未使用的","Delete Unused"
"删除未使用的骨骼","Delete unused bones"
"GZM_","GZM_"
"渲染帧","Render Frames"
"将一系列帧渲染为静态图像。克服变形骨骼和渲染问题","Render a range of frames as still images.\nTo overcome problems with morphing armatures and rendering"
"所有骨骼","All Armatures"
"自动变形所有可见骨骼而不仅仅是可见的","Auto morph all visible armatures instead of just the visible ones"
"Open GL","Open GL"
"Open GL渲染","Open GL rendering"
"自动对齐手/脚","Auto Align Hand/Foot"
"自动对齐手和脚（Rigify参数）","Auto align hand and foot (Rigify parameter)"
"自定义层","Custom Layers"
"显示面部和自定义骨骼的层。不适用于Rigify遗留","Display layers for face and custom bones.\nNot for Rigify legacy"
"IK修复","IK Fix"
"为IK骨骼添加限制，以防止弯曲不良","Add limits to IK bones, to prevent poor bending"
"分离IK脚趾","Separate IK Toes"
"为更好的IK/FK切换创建独立的IK脚趾控制","Create separate IK toe controls for better IK/FK snapping"
"重新计算卷","Recalc Roll"
"重新计算大腿和小腿骨骼的卷角，使它们与全球Z轴对齐。适用于Genesis 1,2和3角色","Recalculate the roll angles of the thigh and shin bones,\nso they are aligned with the global Z axis.\nFor Genesis 1,2, and 3 characters"
"脊柱","spine"
"DEF-%s","DEF-%s"
"Rigify来源","Rigify Source"
"DEF-","DEF-"
"DAZ","DAZ"
"%s%s%d","%s%s%d"
"ORG-%s.%02d.%s","ORG-%s.%02d.%s"
"转换为Rigify","Convert To Rigify"
"将活动骨骼转换为Rigify","Convert active rig to rigify"
"删除中间骨骼","Delete Metarig"
"在Rigify后删除中间骨骼","Delete intermediate rig after Rigify"
"创建中间骨骼","Create Metarig"
